Day,Invoices_Processed,Hours
1,30,1
2,57,2.3
3,241,3.8
4,58,1
5,83,1.2
6,25,0.9
7,260,2.1
8,212,1.6
9,75,1.4
10,190,2.9
11,171,2.5
12,123,2
13,163,2.5
14,201,2.7
15,22,2
16,262,2.2
17,80,1.7
18,268,4.1
19,29,1
20,70,1.8
21,204,3.5
22,149,2.3
23,114,3.7
24,177,3
25,87,2.4
26,188,2.3
27,181,2.8
28,149,2.1
29,45,1.2
30,173,2
31,19,0.9
32,289,4.1
33,233,3.4
34,193,2.5
35,222,3.1
36,110,1.5
37,120,2.5
38,19,2.6
39,129,2.5
40,60,1.8
41,169,2.5
42,150,2.5
43,200,2.9
44,22,0.7
45,103,1.5
46,201,3.3
47,135,2
48,171,1.8
49,197,3.7
50,77,1.7
51,26,1.6
52,289,2.1
53,230,2.6
54,125,1.6
55,60,0.8
56,234,2.1
57,163,2.8
58,109,1.6
59,277,3.5
